model,algorithm,games,wins_X,wins_O,draws
large-4x4-e50-b256-q-sp50.pt,Q,50,9,12,29
large-4x4-e50-b256-sarsa-sp50.pt,SARSA,50,10,14,26
large-4x4-e50-b256-q-sp100.pt,Q,100,19,39,42
large-4x4-e50-b256-sarsa-sp100.pt,SARSA,100,25,29,46
large-4x4-e50-b64-q-sp10.pt,Q,10,2,1,7
large-4x4-e50-b64-sarsa-sp10.pt,SARSA,10,0,2,8
large-4x4-e50-b64-q-sp50.pt,Q,50,11,16,23
large-4x4-e50-b64-sarsa-sp50.pt,SARSA,50,6,11,33
large-4x4-e50-b64-q-sp100.pt,Q,100,25,21,54
large-4x4-e50-b64-sarsa-sp100.pt,SARSA,100,10,30,60
large-4x4x4-e100-b128-q-sp10.pt,Q,10,8,2,0
large-4x4x4-e100-b128-sarsa-sp10.pt,SARSA,10,4,6,0
large-4x4x4-e100-b128-q-sp50.pt,Q,50,26,24,0
large-4x4x4-e100-b128-sarsa-sp50.pt,SARSA,50,27,23,0
large-4x4x4-e100-b128-q-sp100.pt,Q,100,43,57,0
large-4x4x4-e100-b128-sarsa-sp100.pt,SARSA,100,40,60,0
large-4x4x4-e100-b256-q-sp10.pt,Q,10,4,6,0
large-4x4x4-e100-b256-sarsa-sp10.pt,SARSA,10,3,7,0
large-4x4x4-e100-b256-q-sp50.pt,Q,50,26,24,0
large-4x4x4-e100-b256-sarsa-sp50.pt,SARSA,50,32,18,0
large-4x4x4-e100-b256-q-sp100.pt,Q,100,56,44,0
large-4x4x4-e100-b256-sarsa-sp100.pt,SARSA,100,54,46,0
large-4x4x4-e100-b64-q-sp10.pt,Q,10,4,6,0
large-4x4x4-e100-b64-sarsa-sp10.pt,SARSA,10,4,6,0
large-4x4x4-e100-b64-q-sp50.pt,Q,50,24,26,0
large-4x4x4-e100-b64-sarsa-sp50.pt,SARSA,50,22,28,0
large-4x4x4-e100-b64-q-sp100.pt,Q,100,55,45,0
large-4x4x4-e100-b64-sarsa-sp100.pt,SARSA,100,50,50,0
large-4x4x4-e20-b128-q-sp10.pt,Q,10,3,7,0
large-4x4x4-e20-b128-sarsa-sp10.pt,SARSA,10,8,2,0
large-4x4x4-e20-b128-q-sp50.pt,Q,50,23,27,0
large-4x4x4-e20-b128-sarsa-sp50.pt,SARSA,50,30,20,0
large-4x4x4-e20-b128-q-sp100.pt,Q,100,59,41,0
large-4x4x4-e20-b128-sarsa-sp100.pt,SARSA,100,46,54,0
large-4x4x4-e20-b256-q-sp10.pt,Q,10,2,8,0
large-4x4x4-e20-b256-sarsa-sp10.pt,SARSA,10,5,5,0
large-4x4x4-e20-b256-q-sp50.pt,Q,50,24,26,0
large-4x4x4-e20-b256-sarsa-sp50.pt,SARSA,50,25,25,0
large-4x4x4-e20-b256-q-sp100.pt,Q,100,52,48,0
large-4x4x4-e20-b256-sarsa-sp100.pt,SARSA,100,53,47,0
large-4x4x4-e20-b64-q-sp10.pt,Q,10,7,3,0
large-4x4x4-e20-b64-sarsa-sp10.pt,SARSA,10,6,4,0
large-4x4x4-e20-b64-q-sp50.pt,Q,50,25,25,0
large-4x4x4-e20-b64-sarsa-sp50.pt,SARSA,50,28,22,0
large-4x4x4-e20-b64-q-sp100.pt,Q,100,52,48,0
large-4x4x4-e20-b64-sarsa-sp100.pt,SARSA,100,43,57,0
large-4x4x4-e50-b128-q-sp10.pt,Q,10,6,4,0
large-4x4x4-e50-b128-sarsa-sp10.pt,SARSA,10,5,5,0
large-4x4x4-e50-b128-q-sp50.pt,Q,50,24,26,0
large-4x4x4-e50-b128-sarsa-sp50.pt,SARSA,50,24,26,0
large-4x4x4-e50-b128-q-sp100.pt,Q,100,56,44,0
large-4x4x4-e50-b128-sarsa-sp100.pt,SARSA,100,57,43,0
large-4x4x4-e50-b256-q-sp10.pt,Q,10,1,9,0
large-4x4x4-e50-b256-sarsa-sp10.pt,SARSA,10,6,4,0
large-4x4x4-e50-b256-q-sp50.pt,Q,50,31,19,0
large-4x4x4-e50-b256-sarsa-sp50.pt,SARSA,50,24,26,0
large-4x4x4-e50-b256-q-sp100.pt,Q,100,55,45,0
large-4x4x4-e50-b256-sarsa-sp100.pt,SARSA,100,49,51,0
large-4x4x4-e50-b64-q-sp10.pt,Q,10,5,5,0
large-4x4x4-e50-b64-sarsa-sp10.pt,SARSA,10,6,4,0
large-4x4x4-e50-b64-q-sp50.pt,Q,50,29,21,0
large-4x4x4-e50-b64-sarsa-sp50.pt,SARSA,50,25,25,0
large-4x4x4-e50-b64-q-sp100.pt,Q,100,59,41,0
large-4x4x4-e50-b64-sarsa-sp100.pt,SARSA,100,56,44,0
large-5x5-e100-b128-q-sp10.pt,Q,10,1,1,8
large-5x5-e100-b128-sarsa-sp10.pt,SARSA,10,5,1,4
large-5x5-e100-b128-q-sp50.pt,Q,50,13,1,36
large-5x5-e100-b128-sarsa-sp50.pt,SARSA,50,11,1,38
large-5x5-e100-b128-q-sp100.pt,Q,100,26,13,61
large-5x5-e100-b128-sarsa-sp100.pt,SARSA,100,27,12,61
large-5x5-e100-b256-q-sp10.pt,Q,10,2,0,8
large-5x5-e100-b256-sarsa-sp10.pt,SARSA,10,6,1,3
large-5x5-e100-b256-q-sp50.pt,Q,50,17,9,24
large-5x5-e100-b256-sarsa-sp50.pt,SARSA,50,9,7,34
large-5x5-e100-b256-q-sp100.pt,Q,100,23,20,57
large-5x5-e100-b256-sarsa-sp100.pt,SARSA,100,28,18,54
large-5x5-e100-b64-q-sp10.pt,Q,10,1,3,6
large-5x5-e100-b64-sarsa-sp10.pt,SARSA,10,4,2,4
large-5x5-e100-b64-q-sp50.pt,Q,50,9,6,35
large-5x5-e100-b64-sarsa-sp50.pt,SARSA,50,15,5,30
large-5x5-e100-b64-q-sp100.pt,Q,100,33,14,53
large-5x5-e100-b64-sarsa-sp100.pt,SARSA,100,30,16,54
large-5x5-e20-b128-q-sp10.pt,Q,10,0,0,10
large-5x5-e20-b128-sarsa-sp10.pt,SARSA,10,3,0,7
large-5x5-e20-b128-q-sp50.pt,Q,50,9,3,38
large-5x5-e20-b128-sarsa-sp50.pt,SARSA,50,12,5,33
large-5x5-e20-b128-q-sp100.pt,Q,100,17,23,60
large-5x5-e20-b128-sarsa-sp100.pt,SARSA,100,18,14,68
large-5x5-e20-b256-q-sp10.pt,Q,10,0,1,9
large-5x5-e20-b256-sarsa-sp10.pt,SARSA,10,1,1,8
large-5x5-e20-b256-q-sp50.pt,Q,50,14,12,24
large-5x5-e20-b256-sarsa-sp50.pt,SARSA,50,14,8,28
large-5x5-e20-b256-q-sp100.pt,Q,100,20,25,55
large-5x5-e20-b256-sarsa-sp100.pt,SARSA,100,21,15,64
large-5x5-e20-b64-q-sp10.pt,Q,10,2,0,8
large-5x5-e20-b64-sarsa-sp10.pt,SARSA,10,1,2,7
large-5x5-e20-b64-q-sp50.pt,Q,50,13,11,26
large-5x5-e20-b64-sarsa-sp50.pt,SARSA,50,15,13,22
large-5x5-e20-b64-q-sp100.pt,Q,100,25,14,61
large-5x5-e20-b64-sarsa-sp100.pt,SARSA,100,21,26,53
large-5x5-e50-b128-q-sp10.pt,Q,10,2,0,8
large-5x5-e50-b128-sarsa-sp10.pt,SARSA,10,2,0,8
large-5x5-e50-b128-q-sp50.pt,Q,50,4,11,35
large-5x5-e50-b128-sarsa-sp50.pt,SARSA,50,7,4,39
large-5x5-e50-b128-q-sp100.pt,Q,100,16,10,74
large-5x5-e50-b128-sarsa-sp100.pt,SARSA,100,20,16,64
large-5x5-e50-b256-q-sp10.pt,Q,10,1,0,9
large-5x5-e50-b256-sarsa-sp10.pt,SARSA,10,0,2,8
large-5x5-e50-b256-q-sp50.pt,Q,50,5,7,38
large-5x5-e50-b256-sarsa-sp50.pt,SARSA,50,4,4,42
large-5x5-e50-b256-q-sp100.pt,Q,100,20,18,62
large-5x5-e50-b256-sarsa-sp100.pt,SARSA,100,23,20,57
large-5x5-e50-b64-q-sp10.pt,Q,10,2,3,5
large-5x5-e50-b64-sarsa-sp10.pt,SARSA,10,1,3,6
large-5x5-e50-b64-q-sp50.pt,Q,50,11,7,32
large-5x5-e50-b64-sarsa-sp50.pt,SARSA,50,13,11,26
large-5x5-e50-b64-q-sp100.pt,Q,100,25,14,61
large-5x5-e50-b64-sarsa-sp100.pt,SARSA,100,21,15,64
large-5x5x5-e100-b128-q-sp10.pt,Q,10,4,6,0
large-5x5x5-e100-b128-sarsa-sp10.pt,SARSA,10,6,4,0
large-5x5x5-e100-b128-q-sp50.pt,Q,50,30,20,0
large-5x5x5-e100-b128-sarsa-sp50.pt,SARSA,50,25,25,0
large-5x5x5-e100-b128-q-sp100.pt,Q,100,56,44,0
large-5x5x5-e100-b128-sarsa-sp100.pt,SARSA,100,45,55,0
large-5x5x5-e100-b256-q-sp10.pt,Q,10,3,7,0
large-5x5x5-e100-b256-sarsa-sp10.pt,SARSA,10,6,4,0
large-5x5x5-e100-b256-q-sp50.pt,Q,50,30,20,0
large-5x5x5-e100-b256-sarsa-sp50.pt,SARSA,50,20,30,0
large-5x5x5-e100-b256-q-sp100.pt,Q,100,48,52,0
large-5x5x5-e100-b256-sarsa-sp100.pt,SARSA,100,50,50,0
large-5x5x5-e100-b64-q-sp10.pt,Q,10,4,6,0
large-5x5x5-e100-b64-sarsa-sp10.pt,SARSA,10,7,3,0
large-5x5x5-e100-b64-q-sp50.pt,Q,50,25,25,0
large-5x5x5-e100-b64-sarsa-sp50.pt,SARSA,50,23,27,0
large-5x5x5-e100-b64-q-sp100.pt,Q,100,47,53,0
large-5x5x5-e100-b64-sarsa-sp100.pt,SARSA,100,56,44,0
large-5x5x5-e20-b128-q-sp10.pt,Q,10,3,7,0
large-5x5x5-e20-b128-sarsa-sp10.pt,SARSA,10,3,7,0
large-5x5x5-e20-b128-q-sp50.pt,Q,50,19,30,1
large-5x5x5-e20-b128-sarsa-sp50.pt,SARSA,50,27,23,0
large-5x5x5-e20-b128-q-sp100.pt,Q,100,42,58,0
large-5x5x5-e20-b128-sarsa-sp100.pt,SARSA,100,47,53,0
large-5x5x5-e20-b256-q-sp10.pt,Q,10,4,6,0
large-5x5x5-e20-b256-sarsa-sp10.pt,SARSA,10,9,1,0
large-5x5x5-e20-b256-q-sp50.pt,Q,50,36,14,0
large-5x5x5-e20-b256-sarsa-sp50.pt,SARSA,50,24,26,0
large-5x5x5-e20-b256-q-sp100.pt,Q,100,55,45,0
large-5x5x5-e20-b256-sarsa-sp100.pt,SARSA,100,53,47,0
large-5x5x5-e20-b64-q-sp10.pt,Q,10,6,4,0
large-5x5x5-e20-b64-sarsa-sp10.pt,SARSA,10,2,8,0
large-5x5x5-e20-b64-q-sp50.pt,Q,50,18,32,0
large-5x5x5-e20-b64-sarsa-sp50.pt,SARSA,50,23,27,0
large-5x5x5-e20-b64-q-sp100.pt,Q,100,54,46,0
large-5x5x5-e20-b64-sarsa-sp100.pt,SARSA,100,56,44,0
large-5x5x5-e50-b128-q-sp10.pt,Q,10,6,4,0
large-5x5x5-e50-b128-sarsa-sp10.pt,SARSA,10,4,6,0
large-5x5x5-e50-b128-q-sp50.pt,Q,50,28,22,0
large-5x5x5-e50-b128-sarsa-sp50.pt,SARSA,50,25,25,0
large-5x5x5-e50-b128-q-sp100.pt,Q,100,50,50,0
large-5x5x5-e50-b128-sarsa-sp100.pt,SARSA,100,49,50,1
large-5x5x5-e50-b256-q-sp10.pt,Q,10,6,4,0
large-5x5x5-e50-b256-sarsa-sp10.pt,SARSA,10,4,6,0
large-5x5x5-e50-b256-q-sp50.pt,Q,50,23,27,0
large-5x5x5-e50-b256-sarsa-sp50.pt,SARSA,50,16,34,0
large-5x5x5-e50-b256-q-sp100.pt,Q,100,55,44,1
large-5x5x5-e50-b256-sarsa-sp100.pt,SARSA,100,47,53,0
large-5x5x5-e50-b64-q-sp10.pt,Q,10,8,2,0
large-5x5x5-e50-b64-sarsa-sp10.pt,SARSA,10,3,7,0
large-5x5x5-e50-b64-q-sp50.pt,Q,50,28,22,0
large-5x5x5-e50-b64-sarsa-sp50.pt,SARSA,50,26,24,0
large-5x5x5-e50-b64-q-sp100.pt,Q,100,45,55,0
large-5x5x5-e50-b64-sarsa-sp100.pt,SARSA,100,37,63,0
medium-3x3-e100-b128-q-sp10.pt,Q,10,7,1,2
medium-3x3-e100-b128-sarsa-sp10.pt,SARSA,10,8,2,0
medium-3x3-e100-b128-q-sp50.pt,Q,50,26,16,8
medium-3x3-e100-b128-sarsa-sp50.pt,SARSA,50,29,13,8
medium-3x3-e100-b128-q-sp100.pt,Q,100,64,19,17
medium-3x3-e100-b128-sarsa-sp100.pt,SARSA,100,67,27,6
medium-3x3-e100-b256-q-sp10.pt,Q,10,4,4,2
medium-3x3-e100-b256-sarsa-sp10.pt,SARSA,10,9,1,0
medium-3x3-e100-b256-q-sp50.pt,Q,50,33,11,6
medium-3x3-e100-b256-sarsa-sp50.pt,SARSA,50,27,6,17
medium-3x3-e100-b256-q-sp100.pt,Q,100,69,18,13
medium-3x3-e100-b256-sarsa-sp100.pt,SARSA,100,90,7,3
medium-3x3-e100-b64-q-sp10.pt,Q,10,7,0,3
medium-3x3-e100-b64-sarsa-sp10.pt,SARSA,10,6,1,3
medium-3x3-e100-b64-q-sp50.pt,Q,50,16,4,30
medium-3x3-e100-b64-sarsa-sp50.pt,SARSA,50,20,3,27
medium-3x3-e100-b64-q-sp100.pt,Q,100,55,29,16
medium-3x3-e100-b64-sarsa-sp100.pt,SARSA,100,49,43,8
medium-3x3-e20-b128-q-sp10.pt,Q,10,6,0,4
medium-3x3-e20-b128-sarsa-sp10.pt,SARSA,10,5,1,4
medium-3x3-e20-b128-q-sp50.pt,Q,50,23,4,23
medium-3x3-e20-b128-sarsa-sp50.pt,SARSA,50,27,3,20
medium-3x3-e20-b128-q-sp100.pt,Q,100,62,32,6
medium-3x3-e20-b128-sarsa-sp100.pt,SARSA,100,50,24,26
medium-3x3-e20-b256-q-sp10.pt,Q,10,8,0,2
medium-3x3-e20-b256-sarsa-sp10.pt,SARSA,10,5,1,4
medium-3x3-e20-b256-q-sp50.pt,Q,50,23,3,24
medium-3x3-e20-b256-sarsa-sp50.pt,SARSA,50,31,15,4
medium-3x3-e20-b256-q-sp100.pt,Q,100,52,31,17
medium-3x3-e20-b256-sarsa-sp100.pt,SARSA,100,44,9,47
medium-3x3-e20-b64-q-sp10.pt,Q,10,9,1,0
medium-3x3-e20-b64-sarsa-sp10.pt,SARSA,10,8,0,2
medium-3x3-e20-b64-q-sp50.pt,Q,50,39,8,3
medium-3x3-e20-b64-sarsa-sp50.pt,SARSA,50,37,9,4
medium-3x3-e20-b64-q-sp100.pt,Q,100,65,11,24
medium-3x3-e20-b64-sarsa-sp100.pt,SARSA,100,67,15,18
medium-3x3-e50-b128-q-sp10.pt,Q,10,2,8,0
medium-3x3-e50-b128-sarsa-sp10.pt,SARSA,10,1,9,0
medium-3x3-e50-b128-q-sp50.pt,Q,50,8,24,18
medium-3x3-e50-b128-sarsa-sp50.pt,SARSA,50,15,7,28
medium-3x3-e50-b128-q-sp100.pt,Q,100,53,32,15
medium-3x3-e50-b128-sarsa-sp100.pt,SARSA,100,73,11,16
medium-3x3-e50-b256-q-sp10.pt,Q,10,8,0,2
medium-3x3-e50-b256-sarsa-sp10.pt,SARSA,10,9,1,0
medium-3x3-e50-b256-q-sp50.pt,Q,50,43,4,3
medium-3x3-e50-b256-sarsa-sp50.pt,SARSA,50,32,13,5
medium-3x3-e50-b256-q-sp100.pt,Q,100,84,6,10
medium-3x3-e50-b256-sarsa-sp100.pt,SARSA,100,52,30,18
medium-3x3-e50-b64-q-sp10.pt,Q,10,4,6,0
medium-3x3-e50-b64-sarsa-sp10.pt,SARSA,10,6,4,0
medium-3x3-e50-b64-q-sp50.pt,Q,50,21,28,1
medium-3x3-e50-b64-sarsa-sp50.pt,SARSA,50,30,20,0
medium-3x3-e50-b64-q-sp100.pt,Q,100,53,40,7
medium-3x3-e50-b64-sarsa-sp100.pt,SARSA,100,44,28,28
medium-3x3x3-e100-b128-q-sp10.pt,Q,10,7,3,0
medium-3x3x3-e100-b128-sarsa-sp10.pt,SARSA,10,5,5,0
medium-3x3x3-e100-b128-q-sp50.pt,Q,50,32,18,0
medium-3x3x3-e100-b128-sarsa-sp50.pt,SARSA,50,29,21,0
medium-3x3x3-e100-b128-q-sp100.pt,Q,100,66,34,0
medium-3x3x3-e100-b128-sarsa-sp100.pt,SARSA,100,70,30,0
medium-3x3x3-e100-b256-q-sp10.pt,Q,10,6,4,0
medium-3x3x3-e100-b256-sarsa-sp10.pt,SARSA,10,7,3,0
medium-3x3x3-e100-b256-q-sp50.pt,Q,50,35,15,0
medium-3x3x3-e100-b256-sarsa-sp50.pt,SARSA,50,36,14,0
medium-3x3x3-e100-b256-q-sp100.pt,Q,100,78,22,0
medium-3x3x3-e100-b256-sarsa-sp100.pt,SARSA,100,82,18,0
medium-3x3x3-e100-b64-q-sp10.pt,Q,10,7,3,0
